,stop,alightings
1002,PALMER ROAD & POTOMAC HEIGHTS DRIVE,107
198,Allentown Rd at Perrie Ln,107
842,Marlboro Pike at Marwood Blvd N,106
1005,PG Plaza Station Bus Bay H,106
1098,Ritchie Rd at Walker Mill Rd,106
41,3133 Pennsy Dr,105
38,28th Pl at Russell Ave,105
669,Harry S Truman Dr at Mt Lubentia Way,105
1182,Southern Ave Station Bay E,105
467,Cheverly Ave at Inwood St,105
616,Greenbelt Rd at Greenbelt Park Entrance,105
1075,Rhode Island Avenue at Opp 37th Pl,104
899,Old Alexandria Ferry Rd at Highland Meadows Dr,104
786,Largo Rd at Mount Lubentia Way,104
283,Baltimore Ave at Van Buren St,103
628,Greenbrook Dr at Ora Glen Dr,103
1100,Ritchie Station Court Bus Stop #2,102
958,Ora Glen Dr at Mandan Rd,102
598,Goddard Space Flight Center Main Gate (PM Southbound),102
607,Good Luck Rd at Parkdale HS,102
32,28th Ave at Kenton Pl,102
677,Highmount Ln at Brooke Rd,102
464,Cheverly Ave at Columbia Park Rd,102
78,42nd At Jefferson St,102
1270,Temple Hill Rd at Lakeview Dr,101
254,Baltimore Ave at Berwyn Rd,101
852,Matapeake Business Dr at Target Store,101
644,Hamilton St at 37th Ave,100
205,Allentown Way at Allentown Rd,100
820,MLK Jr Hwy at Greig St,100
422,Capitol Heights Blvd at Brooke Rd,100
1124,Riverdale Rd at Tanglewood Dr,100
980,Oxon Hill Rd at Harborview Rd,100
1131,Rollins Ave at Hanlon Street,100
926,Old Marlboro Pike at Melwood Rd,99
689,Hillside Rd at Crescent Rd,99
164,Addison Rd at Drylog St,99
682,Highview Pl at Sunbury Ct,99
