,stop,boardings,alightings
1262,Suitland Rd at Opp. Suitland Federal Center Gate 3,366,435
1024,PGCC Perimeter Rd at Annex A Building,365,838
1097,Ridgefield Blvd at Stretford Ct,364,45
1261,Suitland Rd at Homer Ave,363,508
4,10800 Indian Head Highway at Fort Washington Manor,363,481
1143,Riverdale Rd at Tanglewood Dr,362,284
117,8300 Corporate Dr,361,220
1186,Sheriff Rd at Harvey Dr,357,489
386,Brinkley Rd at Rose Croft Shopping Center,355,479
648,Gwynn Park High School,355,314
323,Brandywine Rd at Cork Tree Way,355,156
746,Kipling Pkwy at Brewton St,354,357
290,Belcrest Rd at PG Plaza,354,569
592,Fisher Rd at Temple Blvd,352,258
90,4412 Suitland Rd (Opposite),349,388
1291,Temple Hill Rd at Megan Dr,348,262
877,McCormick Dr at UMUC,347,350
421,Campus Way South at PGCC Perimeter Rd,346,414
287,Baltimore Avenue at Fox Street,346,86
413,Campus Way North at Tulip Tree Dr,344,163
959,Opp 3133 Pennsy Dr,343,336
743,Kenilworth Ave at Nicholson St,343,717
1101,Ritchie Rd at D'arcy Rd,339,409
13,14th Ave at Langley Way,338,366
835,MLK Jr Hwy at Sheriff Rd,338,332
575,Equestrian Center Lot 1 (Arrival),336,3098
330,Brandywine Road @ Killarney Street,336,73
1212,Southern Ave at Forest Hills Apts,334,241
26,23rd Ave at Woodberry St,331,480
1091,Rhode Island Ave at Volta Ave,331,302
5,1100 Owens Rd,329,227
1083,Rhode Island Ave at 42nd Pl,328,368
629,Greenbelt Rd at Walker Dr,326,337
892,Nalley Rd at East Nalley Rd,325,250
361,Brightseat Rd at Opp. Maple Ridge Apts #1,325,2845
387,Brinkley Rd at Rosecroft Shopping Center,325,1808
1088,Rhode Island Ave at County Service Building - SB,323,385
1096,Ridgefield Blvd at Sgt. Harman Ln,322,145
583,Fieldstone Way,322,240
913,Old Alexandria Ferry Rd at Heflin Dr,320,290
1216,Southern Ave at Owens Rd,316,76
242,Auburn Ave at Chestnut Ave,315,669
1220,Southern Ave at United Medical Center,315,97
958,Olson St at Norcross St,314,714
204,Allentown Rd at Waldran Dr,314,245
458,Central Ave at Yeoman Pl,313,135
216,Annapolis Rd at Bladensburg Elem. School,313,917
637,Greenbrook Dr at Ora Glen Dr,311,246
210,Annapolis Rd at 48th St,309,406
934,Old Marlboro Pike at Brooklee Dr,306,190
466,Cherrywood Ln at Springhill Drive,306,135
378,Brinkley Rd at Larwin Dr,306,74
1181,Sheriff Rd at Dutch Village Dr,305,425
941,Old Marlboro Pike at Melwood Rd,305,243
627,Greenbelt Rd at Lakecrest Dr,305,371
607,Goddard Space Flight Center Main Gate (PM Southbound),304,255
1312,University Blvd at Guilford Rd,303,165
857,Marlboro Pike at Tucker's Restaurant,303,297
166,Addison Rd at Drylog St,303,206
315,Bock Rd at Technology Recreation Complex,302,513
996,Oxon Hill Rd at Harborview Rd,301,254
1031,Pennsylvania Ave at Forestville Rd,301,771
472,Cheverly Ave at Forest Rd,300,186
940,Old Marlboro Pike at Melwood Park Ave,297,258
1064,Queensbury Rd at Baltimore Ave,296,241
188,Allentown Rd at 5711 AFCU Allentown Rd,294,373
1045,Pontiac St at 60th Ave,294,321
1185,Sheriff Rd at Glen Willow Dr - South Side,293,42
123,85th Avenue and Hiltop Apartments,291,465
1055,Queens Chapel Rd at Lancer Dr,290,566
1222,Southern Ave opposite B St SE,290,187
769,Landover Rd at 56th Ave,290,375
1309,Truman Manor,287,46
273,Baltimore Ave at Longfellow St,287,193
38,28th Pl at Russell Ave,286,271
1106,Ritchie Rd at Mane Ln,286,458
991,Oxon Hill Rd at 6201 Oxon Hill Plaza,286,582
178,Ager Rd at 23rd Ave,285,223
917,Old Alexandria Ferry Rd at Mike Shapiro Dr,282,294
788,Largo Rd at Drumsheugh Ln,281,38
1295,Temple Hill Rd at Piscataway Rd,279,364
1253,Stuart Ln at Topaz Court,279,3
278,Baltimore Ave at Regents Dr,278,198
414,Campus Way S at PGCC Entrance,278,128
200,Allentown Rd at Perrie Ln,278,290
1176,Sheriff Rd at Belle Haven Dr,277,1071
1338,Walker Mill Rd at Tanow Pl,277,131
984,Owens Rd at Woodland Blvd,276,329
542,District Heights Municipal Bldg,275,299
127,9400 Peppercorn Pl,275,344
1315,Upshur St at 28th St,274,505
1329,Volta Ave at 39th Pl,272,86
194,Allentown Rd at Dodge Ln,271,244
822,MLK Jr Hwy at 69th Pl,271,241
1098,Ritchie Rd at Alberta Dr,271,650
679,Harry S Truman Dr at Mt Lubentia Way,269,240
281,Baltimore Ave at Sheridan St,269,96
1026,PGCC Perimeter Rd at R.I. Bickford Building,267,45
771,Landover Rd at 58th Ave,267,203
664,Hanover Pkwy at Greenbelt Rd,266,190
1330,Volta Ave at Rhode Island Ave,266,309
1038,Peppermill Dr at Pepper St,266,294
682,Harry S. Truman Dr at Lottsford,265,70
687,Highmount Ln at Brooke Rd,264,199
393,Brinkley Rd at Trude St,264,354
463,Cherrywood Ln at Greenbelt Federal Courthouse,263,301
107,60th Ave at Seminole St,262,208
1217,Southern Ave at Robert Yedell Tower,262,128
1190,Sheriff Rd at Village Green Dr,261,157
